Symbol,Oclc symbol,Library type,Library type,Name,Web address,Street address,Postal address,Email,Main phone number,NZ int scheme member,Te Puna int member,IBS member,Status in NZ IL Scheme,Manager,Manager email,Interloan librarian,Phone interloan,Email interloan,Notes
WCOR,NZCOR,Special,Library,Department of Corrections,http://www.corrections.govt.nz,"Level 8, Mayfair House
44-52 The Terrace
Wellington 6011
New Zealand","Private Box 1206
Wellington 6140
New Zealand",infocentre@corrections.govt.nz,+64 4 460 3000,true,true,true,Charter,Jennifer Klarwill,jennifer.klarwill@corrections.govt.nz,Deborah O'Connor,+64 4 460 3000,deb.o'connor@corrections.govt.nz,
APFL,,Special,Library,DLA Phillips Fox (Auckland),http://www.dlapf.com,"DLA Phillips Fox Tower
209 Queen Street
Auckland 1010
New Zealand","PO Box 160
Auckland 1010
New Zealand",anne.paton@dlapf.com,+64 9 303 2019,false,false,false,TBA,Anne Paton,anne.paton@dlapf.com,Anne Paton,+64 9 303 2019,anne.paton@dlapf.com,
WPFL,,Special,Library,DLA Phillips Fox (Wellington),http://www.dlapf.com,"Tower Building
50-64 Customhouse Quay
Wellington 6011
New Zealand","PO Box 2791
Wellington 6011
New Zealand",pam.ward@dlapf.com,+64 4 474 3223,false,false,false,TBA,Pam Ward,pam.ward@dlapf.com,Pam Ward,+64 4 474 3223,pam.ward@dlapf.com,
ADC,NADC,,Music hire,Dorian Choral Music Library,,"63/67 Ranfurly Road
Epsom
Auckland 1023
New Zealand","Dorian Choral Music Library
PO Box 24-696
Auckland 1345
New Zealand",pamelakirkham51@gmail.com,+64 9  630 8506,false,false,false,TBA,ADC Hire,pamelakirkham51@gmail.com,,,,Additonal email: margb@ihug.co.nz
DP,D8D,Public,Library,Dunedin Public Libraries,http://www.dunedinlibraries.govt.nz/,"230 Moray Place
Dunedin 9016
New Zealand","PO Box 5542
Dunedin 9054
New Zealand",interloan@dcc.govt.nz,+64 3 474 3690,true,true,true,Charter,Sarah Gallagher,sarah.gallagher@dcc.govt.nz,Colleen Marshall,+64 3 474 3663,colleen.marshall@dcc.govt.nz,Last updated: 28/02/2025
WKEC,WKEC,,Music hire,Edgecumbe Choir Inc.,http://www.edgechoir.org.nz,"41 Arawa Street
Matata RD4
Whakatane 3194
New Zealand","PO Box 630
Whakatane 3158
New Zealand",matatabp@xtra.co.nz,+64 7 308 5211,false,false,false,TBA,WKEC Hire,matatabp@xtra.co.nz,,,,Colleen Woodley Librarian
AEE,,Special,Library,EEO Library,http://www.eeotrust.org.nz,"Level 5
James & Wells Tower
Auckland
New Zealand","PO Box 12929
Penrose
Auckland 1642
New Zealand",admin@eeotrust.org.nz,+64 9 525 3023,false,false,false,TBA,Renée Schick,rschick@eeotrust.org.nz,Renée Schick,+64 9 525 3023,rschick@eeotrust.org.nz,
NACY,NZNAC,Tertiary,Library,"Eastern Institute of Technology, part of Te Pūkenga",https://www.eit.ac.nz/students/library/,"Twist Library,
501 Gloucester Street,
Napier 4112,
New Zealand","Twist Library,
Private Bag 1201,
Hawke's Bay Mail Centre,
Napier 4142,
New Zealand",twist@eit.ac.nz,+64 6 974 8000 x 6040,true,true,true,Charter,Heather Pilbeam,hpilbeam@eit.ac.nz,Amanda Wall,+64 6 974 8000 x 6040,awall@eit.ac.nz,24 hour turnaround. <br />Last updated 10/10/2023.
WECO,,Special,Library,Environment & Conservation Organisations of NZ Inc.,http://www.eco.org.nz,"126 Vivian Street
Wellington
New Zealand","PO Box 11 057
Wellington
New Zealand",eco@eco.org.nz,+64 4 385 7545,false,false,false,TBA,,,Michael Pringle,+64 4 385 7545,eco@eco.org.nz,
WKRG,,Special,Library,Environment Bay of Plenty,http://www.envbop.govt.nz,"5 Quay Street
Whakatane 3120
New Zealand","5 Quay Street
Whakatane 3120
New Zealand",info@envbop.govt.nz,0800 368 267,false,false,false,Non-charter,Elizabeth Jarrett,elizabeth.jarrett@envbop.govt.nz,,,,
WRMA,NZWRM,Special,Library,Environmental Protection Authority,http://www.epa.govt.nz,"Level 1, Stewart Dawson's Corner
366 Lambton Quay
Wellington 6011
New Zealand","Private Bag 63002
Wellington 6140
New Zealand",infocentre@epa.govt.nz,+64 4 474 5564,true,true,true,Non-charter,Mary Swainson,mary.swainson@epa.govt.nz,Polly Lind,+64 4 474 5564,infocentre@epa.govt.nz,Speculative requests welcome <br />Last updated: 24/06/2025.
AEM,,Special,Library,Ernest & Marion Davis Library Trust,,"Private Bag 92 024
Auckland City Hospital
Auckland 1142
New Zealand","Private Bag 92024
Auckland City Hospital
Auckland 1142
New Zealand",emdavislib@adhb.govt.nz,+64 9 307 4949 398 22260,false,false,false,Non-charter,Juliet Hawkins,emdavislib@adhb.govt.nz,Juliet Hawkins,+64 9 307 4949 398 22260,emdavislib@adhb.govt.nz,Lend post-1900 material.  Do not borrow
AEY,,Special,Library,Ernst & Young New Zealand,,"41 Shortland Street
Auckland
New Zealand","PO Box 2146
Auckland
New Zealand",evelyn.johnson@nz.ey.com,+64 9 377 4790,false,false,false,TBA,Evelyn Johnson,evelyn.johnson@nz.ey.com,Evelyn Johnson,+64 9 377 4790,evelyn.johnson@nz.ey.com,
CESR,NZCES,Special,Library,"PHF Science Library, Christchurch",https://www.phfscience.nz/,"27 Creyke Road
Ilam
Christchurch 8041
New Zealand","PO Box 29 181
Christchurch 8540
New Zealand",irs@phfscience.nz,+64 3 351 0010,true,true,true,Charter,Kevin Adams,irs@phfscience.nz,Kevin Adams,+64 3 351 0010,irs@phfscience.nz,Last updated: 7/08/2025
PESR,N4E,Special,Library,"PHF Science Library, Kenepuru",https://www.phfscience.nz/,"34 Kenepuru Drive
Porirua
Porirua 5022
New Zealand","PO Box 50 348
Porirua 5240
New Zealand",library.ksc@phfscience.nz,+64 4 914 0700,true,true,true,Charter,Renee Corlett,renee.corlett@phfscience.nz,Interloan Librarian,+64 4 914 0700,irs@phfscience.nz,Last updated: 7/08/2025
AESRA,NZAES,Special,Library,"PHF Science Library, Mt Albert",https://www.phfscience.nz/,"120 Mt Albert Road
Sandringham
Auckland 1142
New Zealand","Private Bag 92 021
Mt Albert
Auckland 1142
New Zealand",irs@phfscience.nz,,true,true,true,Charter,Library Manager,irs@phfscience.nz,Interloans,,irs@phfscience.nz,"Please note, as this branch is not staffed, there will be a delay while staff from the Kenepuru branch arrange to supply from this collection. <br/>last updated: 6/08/2025"
ATT,,Special,Library,Fairfax Media Auckland,,"2 Hereford Street
Freeman's Bay
Auckland
New Zealand","PO Box 1327
Auckland
New Zealand",library@fairfaxmedia.co.nz,+64 9 925 9700,false,false,false,TBA,Lesley Longstaff,lesley.longstaff@fairfaxmedia.co.nz,Lesley Longstaff,+64 9 925 9700,lesley.longstaff@fairfaxmedia.co.nz,
WFAM,,Special,Library,Family Planning,http://www.familyplanning.org.nz,"Level 6
203-209 Willis Street
Wellington 6011
New Zealand","Level 6
203-209 Willis Street
Wellington 6011
New Zealand",National@familyplanning.org.nz,+64 4 384 4349,false,false,false,Non-charter,Emma Barfoote,National@familyplanning.org.nz,,,,
FNP,NZFNP,Public,Library,Far North District Libraries,https://www.fndc.govt.nz/Services/Libraries/Our-Libraries,"Procter Library,
6 Cobham Road,
Kerikeri 0230,
New Zealand","Far North District Council Libraries,
Private Bag 752,
Kaikohe 405,
New Zealand",libraries@fndc.govt.nz,0800 920 029,true,true,true,Charter,Nicola Smith,nicola.smith@fndc.govt.nz,Collections Team,0800 920 029,collections@fndc.govt.nz,Last updated: 7/10/2024
NAFES,NAFE,,Music hire,Festival Opera,http://www.festivalopera.co.nz,"25 Colenso Ave
Napier
Napier 4110
New Zealand","25 Colenso Ave
Napier 4110
New Zealand",anna@festivalopera.co.nz,06 833 6232,false,false,false,TBA,Anna Pierard,anna@festivalopera.co.nz,,,,
WFES,WFES,,Music hire,Festival Singers of Wellington,http://www.festival-singers.org.nz,"17 Montgomery Ave
Karori
Wellington 6140
New Zealand","PO Box 1325
Wellington 6140
New Zealand",rurry@kwns.school.nz,00 000 000,false,false,false,TBA,WFES Hire,rurry@kwns.school.nz,,,,"Contact: Rita Urry,  rurry@kwns.school.nz  "
PDA,NZPDA,Special,Library,Fonterra Research Centre Limited,http://www.fonterra.com,"Dairy Farm Road
Fitzherbert West
Palmerston North 4442
New Zealand","Private Bag 11 029
Palmerston North 4442
New Zealand",Infoconnect@fonterra.com,+64 6 350 4649,true,true,true,Charter,TBA,Infoconnect@fonterra.com,Interloans Contact,+64 6 350 4649,Infoconnect@fonterra.com,
AFH,,Special,Library,Fred Hollows Foundation NZ,http://www.hollows.org.nz,"Level 5, 41 Shortland Street
Newmarket
Auckland 1010
New Zealand","Private Bag 99909
Newmarket
Auckland 1149
New Zealand",info@hollows.org.nz,+64 9 304 0524,false,false,false,Non-charter,Supporter Services,info@hollows.org.nz,,,,
DFCM,DFCM,,Music hire,Friends of Cathedral Music Inc.,,"38 Gamma St
Belleknowes
Dunedin 9011
New Zealand","38 Gamma St
Belleknowes
Dunedin 9011
New Zealand",gpeyroux@hotmail.com,+64 3 477 1877,false,false,false,TBA,DFCM Hire,gpeyroux@hotmail.com,,,,Other contact details:  021 262 9769
CMG,,Tertiary,Library,Geography Department Library,http://www.geog.canterbury.ac.nz/department/maplib/index.shtml,"Private Bag 4800
Christchurch
New Zealand","Private Bag 4800
Christchurch
New Zealand",maplibrary@geog.canterbury.ac.nz,+64 3 364 2904,false,false,false,TBA,,,,,,
MNGHD,,Special,Library,GHD Limited,http://www.ghd.com/global/locations/new-zealand/auckland/,"GHD Centre
Level 3
Auckland 1011
New Zealand","GHD Centre
Level 3
Auckland 1011
New Zealand",auckmail@ghd.co.nz,+64 9 261 1400,false,false,false,Non-charter,Gary Payne,gary.payne@ghd.co.nz,,,,
GCS,,,Music hire,Gisborne Choral Society,,"PO Box 86
Gisborne 4040
New Zealand","PO Box 86
Gisborne 4040
New Zealand",Mary-Jane.Richmond@gisborneherald.co.nz,+64 6 867 9327,false,false,false,TBA,GCS Hire,Mary-Jane.Richmond@gisborneherald.co.nz,,,,"Contact:Mary-Jane Richmond , Mary-Jane.Richmond@gisborneherald.co.nz    "
GCO,NGCO,,Music hire,Gisborne Civic Orchestra,,"32 Glenelg Road
Gisborne 4071
New Zealand","32 Glenelg Road
Gisborne 4071
New Zealand",rflyger@xtra.co.nz,+64 06 867 6426,false,false,false,TBA,GCO Hire,rflyger@xtra.co.nz,,,,"President: Richard Flyger ph 06 867 4404 (evenings)  Treasurer: Sue St John ph 06 867 3625  Billing Address: 32 Glenelg Road, RD1, Gisborne"
WGE,XR#,Special,Library,"GNS Science, Geology & Geophysics Library",http://www.gns.cri.nz,"1 Fairway Drive
Avalon
Lower Hutt 5011
New Zealand","PO Box 30 368
Lower Hutt 5040
New Zealand",library@gns.cri.nz,+64 4 570 4863,true,true,true,Charter,Maggie Dyer,library@gns.cri.nz,Kristin Garbett,+64 4 570 4863,library@gns.cri.nz,
LNU,NZLNU,Special,Library,"GNS Science, National Isotope Centre Library",http://www.gns.cri.nz,"30 Gracefield Road
Gracefield
Lower Hutt 5010
New Zealand","PO Box 30368
Lower Hutt 5040
New Zealand",library@gns.cri.nz,+64 4 570 4627,true,true,true,Charter,Penny Cole,p.cole@gns.cri.nz,Penny Cole,+64 4 570 4627,p.cole@gns.cri.nz,
TPLB,NZTPL,Special,Library,"GNS Science, Wairakei Research Centre Library",http://www.gns.cri.nz,"114 Karetoto Road
RD4
Taupo 3384
New Zealand","Private Bag 2000
Taupo 3352
New Zealand",library@gns.cri.nz,+64 7 374 8211,true,true,true,Charter,Anna Crawley,a.crawley@gns.cri.nz,Anna Crawley,+64 7 374 8211,a.crawley@gns.cri.nz,
GOP,NZGOP,Public,Library,Gore District Libraries,http://gorelibraries.govt.nz,"10C Ardwick Street
Gore 9710
New Zealand","PO Box 8
Gore 9740
New Zealand",gorelibraries@goredc.govt.nz,+64 3 203 9115,true,true,true,Charter,Jessica Swan,jswan@goredc.govt.nz,Megan Tredwell,,gorelibraries@goredc.govt.nz,Last updated: 26/01/2023.
WRG,NZWRG,Special,Library,Greater Wellington Regional Council,,"Shed 39 1 Hinemoa St Harbour Quay
Wellington 6011
New Zealand","PO Box 11646
Manners St
Wellington 6142
New Zealand",Library@gw.govt.nz,+64 4 8304092,true,false,false,TBA,Darrell Young,darrell.young@gw.govt.nz,Darrell Young,+64 4 8304092,darrell.young@gw.govt.nz,
GRP,NZGRP,Public,Library,Grey District Library,https://www.greydc.govt.nz/libraries,"18 Albert Street
Greymouth 7805
New Zealand","PO Box 382
Greymouth 7840
New Zealand",library@greydc.govt.nz,+64 3 768 5597,true,true,true,Charter,Anthony Hunter,anthony.hunter@greydc.govt.nz,Anthony Hunter,+64 3 768 5597,anthony.hunter@greydc.govt.nz,Last updated: 25/01/2023
HP,NZHPC,Public,Library,Hamilton City Libraries,http://www.hamiltonlibraries.co.nz,"9 Garden Place
Hamilton 3240
New Zealand","PO Box 933
Hamilton 3240
New Zealand",CCS.Business.Support@hcc.govt.nz,+64 7 838 6824,true,true,true,Charter,Paula Murdoch,paula.murdoch@hcc.govt.nz,Paige Brunsdon,+64 7 838 6824,interloans@hcc.govt.nz,
HCC,NHCC,,Music hire,Hamilton Civic Choir,http://hamiltoncivicchoir.org.nz,"43 Tui Road
Te Aroha
Hamilton 3320
New Zealand","PO Box 824
Hamilton 3240
New Zealand",secretary@hamiltoncivicchoir.org.nz,+64 7 884 9182,false,false,false,TBA,HCC Hire,secretary@hamiltoncivicchoir.org.nz,,,,"Secretary: secretary@hamiltoncivicchoir.org.nz, Koli Jayatunge ph 022 353 9224. 390a River Road, Hamilton, 3214, kolijaya@gmail.com  "
ANSC,ANSC,,Music hire,Harbour Voices,https://www.harbourvoices.org.nz,,,harbourvoices.auckland@gmail.com,+64 27 478 2201‬,false,false,false,TBA,Karen Brook,harbourvoices.auckland@gmail.com,,,,Last updated: 26/03/2025
AHG,,Special,Library,Harrison Grierson Consultants Ltd  (Akl),http://www.harrisongrierson.com/,"Level 1
71 Great South Road
Auckland 1051
New Zealand","PO Box 5760
Wellesley Street
Auckland 1141
New Zealand",o.macdiarmid@harrisongrierson.com,+64 9 917 5000,true,false,false,TBA,,,,,,
HACS,HACS,,Music hire,Hastings Choral Society,,"2289 Kereru Rd,
RD 1,
Hastings 4171,
New Zealand","PO Box 2276,
Hastings 4153,
New Zealand",christinespall@windowslive.com,+64 27 291 6266,false,false,false,TBA,Christine Spall,christinespall@windowslive.com,,,,"Conductor: Joe Christensen, joechristensen@hotmail.com, ph 06 874 7760 <br />Last updated: 22/05/25"
HAP,NZHSD,Public,Library,Hastings District Libraries,https://www.hastingslibraries.co.nz/,"cnr Eastbourne & Warren Streets
Hastings 4122
New Zealand","Private Bag 9002
Hastings 4156
New Zealand",libraries@hdc.govt.nz,+64 6 871 5000,true,true,true,Charter,Kate Peterson,katemp@hdc.govt.nz,Fiona Frost,+64 6 871 5000,interloans@hdc.govt.nz,No books purchased within last 6 months lent. No audio-visual material lent
HAUP,NZHAU,Public,Library,Hauraki District Libraries,https://library.hauraki-dc.govt.nz/,"5 Mackay Street
Paeroa 3600
New Zealand","5 Mackay Street
Paeroa 3600
New Zealand",hdc-library@hauraki-dc.govt.nz,+64 7 862 5006,true,true,true,Charter,Marion Kroukam,marion.kroukam@hauraki-dc.govt.nz,Rochelle Ganderton,+64 7 862 5006,rochelleg@hauraki-dc.govt.nz,Last updated: 18/01/2023
HAM,NZHAM,Special,Library,"Te Whatu Ora - Health New Zealand, Hawke's Bay Library",,"Hawke's Bay Hospital
Omahu Road
Hastings 4120
New Zealand","Private Bag 9014
Hastings 4156
New Zealand",medlib@hbdhb.govt.nz,+64 6 878 8109,true,true,true,Charter,Viv Kerr,viv.kerr@hawkesbaydhb.govt.nz,Viv Kerr,+64 6 878 8109,viv.kerr@hawkesbaydhb.govt.nz,
GP,NZGPL,Public,Library,HB Williams Memorial Library,http://www.gpl.govt.nz,"34 Bright Street
Gisborne 4010
New Zealand","PO Box 747
Gisborne 4040
New Zealand",info@gpl.govt.nz,+64 6 867 6709,true,true,true,Charter,Lois Haddon,lois.haddon@gdc.govt.nz,Aroha Ria,+64 6 867 6709,info@gpl.govt.nz,
WAL,NZWAL,Special,Library,"Te Whatu Ora - Health New Zealand, Health Promotion Library",http://www.hpa.org.nz,"133 Molesworth Street,
Thorndon,
Wellington 6011,
New Zealand","PO Box 793,
Wellington 6140,
New Zealand",oriana.chin@tewhatuora.govt.nz,021 273 5734,true,true,true,Charter,Oriana Chin,oriana.chin@tewhatuora.govt.nz,Oriana Chin,021 273 5734,oriana.chin@tewhatuora.govt.nz,Last updated: 6/10/2025
AHH,,Special,Library,Hesketh Henry,http://www.heskethhenry.co.nz,"41 Shortland Street
Auckland
New Zealand","Private Bag 92 093
Auckland
New Zealand",geoff.pollard@heskethhenry.co.nz,+64 9 375 8710,false,false,false,TBA,Geoff Pollard,geoff.pollard@heskethhenry.co.nz,Geoff Pollard,+64 9 375 8710,geoff.pollard@heskethhenry.co.nz,
DKN,NZDKN,Tertiary,Library,"Hewitson Library, Presbyterian Research Centre",https://hewitson.mykoha.co.nz/,"Arden Street
Opoho
Dunedin 9010
New Zealand","Arden Street
Opoho
Dunedin 9010
New Zealand",hewitson@prcknox.org.nz,+64 3 473 0771,true,true,true,Charter,,,Interloans,+64 3 473 0771,hewitson@prcknox.org.nz,
WHNHC,WHNH,,Music hire,Hibiscus Coast Singers Inc.,http://www.hbcsingers.com,"48 Waiora Road
Stanmore Bay
Whangaparaoa 932
New Zealand","34 Swann Beach Road
Stanmore Bay
Whangaparaoa 932
New Zealand",abcs@slingshot.co.nz,+64  9 424 0183,false,false,false,TBA,WHNHC Hire,abcs@slingshot.co.nz,,,,Manager email: hbcmusicsociety@gmail.com
AHTC,AHTC,,Music hire,Holy Trinity Cathedral,www.holy-trinity.org.nz,"Corner Parnell Rd & St Stephen’s Ave
Parnell
Auckland 1052
New Zealand","PO Box 37148
Parnell
Auckland 1151
New Zealand",dom@holy-trinity.org.nz,6493039500,false,false,false,TBA,AHTC Hire,dom@holy-trinity.org.nz,,,,"Director, Timothy Noon,  Director of Music"
LEP,NZLEP,Public,Library,Horowhenua District Council,https://www.tetakere.org.nz/Your-Library,"10 Bath Street
Levin 5510
New Zealand","Private Bag 4002
Levin 5540
New Zealand",interloans@horowhenua.govt.nz,+64 6 368 1953,true,true,true,Charter,Wendy Fraser,wendyf@horowhenua.govt.nz,Mary-Jane Pritchard,,maryjanep@horowhenua.govt.nz,Last updated: 4/08/2023
AHUR,,Special,Library,Human Rights Commission,http://www.hrc.co.nz/library,"Level 3, Zurich House
21 Queen Street
Auckland 1010
New Zealand","PO Box 6751
Wellesley Street
Auckland 1141
New Zealand",library@hrc.co.nz,+64 9 375 8637,false,false,false,TBA,Denny Boothe,dennyb@hrc.co.nz,Denny Boothe,+64 9 375 8637,dennyb@hrc.co.nz,
AYP,NZAYP,Public,Library,Hurunui District Library,https://www.hurunui.govt.nz/community/library,"111 Carters Road
Amberley 7410
New Zealand","PO Box 13
Amberley 7441
New Zealand",requests@hurunuilibrary.govt.nz,+64 3 314 8980,true,true,true,Charter,Mark O'Connell,mark.oconnell@hurunui.govt.nz,Jemma Philpott,,jemma@hurunuilibrary.govt.nz,
LP,NZLPP,Public,Library,Hutt City Libraries,http://www.library.huttcity.govt.nz,"c/- War Memorial Library,
2 Queens Drive,
Lower Hutt 5010,
New Zealand","c/- War Memorial Library,
2 Queens Drive,
Lower Hutt 5010,
New Zealand",libraries@huttcity.govt.nz,+64 4 570 6633,true,true,true,Charter,Joann Ransom,joann.ransom@huttcity.govt.nz,Susanne Markwitz,,interloans@huttcity.govt.nz,Please send interloan queries to interloans@huttcity.govt.nz. <br />Last updated: 1/05/2024.
LM,NZLMM,Special,Library,"Te Whatu Ora - Health New Zealand, Hutt Valley Library",,"High Street
Lower Hutt 5010
New Zealand","Private Bag 31 907
Lower Hutt 5040
New Zealand",library@huttvalleydhb.org.nz,+64 4 570 9055,true,true,true,Charter,Helen Schofield,library@huttvalleydhb.org.nz,Interloan Contact,+64 4 570 9055,library@huttvalleydhb.org.nz,
UHCS,NTPC,,Music hire,Hutt Valley Singers,www.huttvalleysingers.org.nz,"38 Fraser Crescent,
Elderslea,
Upper Hutt 5018
New Zealand","38 Fraser Crescent,
Elderslea,
Upper Hutt 5018
New Zealand",librarianhuttvalleysingers@gmail.com,+64 27 522 6600,false,false,false,TBA,UHCS Hire,librarianhuttvalleysingers@gmail.com,,,,The Secretary may be contacted by emailing secretaryhuttvalleysingers@gmail.com
WIHC,NWIHC,Special,Library,IHC New Zealand Inc.,https://ihc.mykoha.co.nz/,"57 Willis Street
Wellington 6011
New Zealand","PO Box 4155
Wellington 6140
New Zealand",librarian@ihc.org.nz,+64 4 472 2247,true,true,true,Charter,Phil Clarke,phil.clarke@ihc.org.nz,Phil Clarke,+64 4 471 5741,phil.clarke@ihc.org.nz,Last updated: 15/09/2022
WLT,NZWLT,Special,Library,Inland Revenue Library & Research Services,http://www.ird.govt.nz,"Asteron Centre,
55 Featherston Street,
Wellington 6011,
New Zealand","PO Box 2198,
Wellington 6140,
New Zealand",library@ird.govt.nz,+64 4 890 1015,true,true,true,Charter,Library & Research Services,library@ird.govt.nz,Anne-Marie Cassidy,,anne-marie.cassidy@ird.govt.nz,Last updated 6/10/2023
WIN,NZDIA,Special,Library,Internal Affairs Te Tari Taiwhenua (closed 2024),,,,,,false,false,false,TBA,,,,,,
AIA,,Special,Library,International Accreditation New Zealand,http://www.ianz.govt.nz/resources/,"Level One  626 Great South Road
Ellerslie
Auckland 1051
New Zealand","Private Bag 28908, Remuera
Auckland 1541
New Zealand",info@ianz.govt.nz,+64 9 525 6655,false,false,false,TBA,Rosemary Apperley,rapperley@ianz.govt.nz,Rosemary Apperley,+64 9 525 6655,rapperley@ianz.govt.nz,
IP,NZIPP,Public,Library,Invercargill City Libraries,http://www.ilibrary.co.nz,"50 Dee Street
Invercargill 9840
New Zealand","Private Bag 90 111
Invercargill 9840
New Zealand",reception@ilibrary.co.nz,+64 3 211 1444,true,true,true,Charter,Kathy Aloniu,kathy.aloniu@ilibrary.co.nz,Catherine Wilson,+64 3 211 1444,interloans@ilibrary.co.nz,
PIPC,NPIPC,Tertiary,Library,IPU New Zealand Tertiary Institute,http://www.ipu.ac.nz/library.html,"57 Aokautere Drive
Fitzherbert
Palmerston North 4442
New Zealand","Private Bag 11 021
Palmerston North 4442
New Zealand",library@ipu.ac.nz,+64 6 354 0922 x 855,true,true,true,Charter,,,Interloans,+64 6 354 0922 x 855,library@ipu.ac.nz,
AKR,,Special,Library,Jacobs aka Kingston Reynolds,http://www.jacobs.com,"Level 2 Carlaw Park
12-16 Nicholls Lane
Parnell
Auckland 1010
New Zealand","PO Box 9806
Newmarket
Auckland 1149
New Zealand",Sher.Foley-Lovelock@jacobs.com,+64 9 928 5969,true,false,false,TBA,Sher Foley,Sher.Foley-Lovelock@jacobs.com,,,,
ASJ,NZASJ,Tertiary,Library,John Kinder Theological Library,http://www.kinderlibrary.ac.nz,"202 St Johns Road
Meadowbank
Auckland 1072
New Zealand","Private Bag 28 907
Remuera
Auckland 1541
New Zealand",library@kinderlibrary.ac.nz,+64 9 521 2725,true,true,true,Charter,Judith Bright,judith.bright@kinderlibrary.ac.nz,Helen Greenwood,+64 9 521 2725,helen.greenwood@kinderlibrary.ac.nz,
KAIP,NKAIP,Public,Library,Kaikōura District Library,https://www.kaikoura.govt.nz/community/kaikoura-district-library,"Civic Building, Level 1
96 West End
Kaikoura 7300
New Zealand","PO Box 6
Kaikoura 7340
New Zealand",books@kdclibrary.co.nz,+64 3 319 6280,true,true,true,Charter,Jackie Brown,jackie@kdclibrary.co.nz,Interloans Contact,+64 3 319 6280,books@kdclibrary.co.nz,
DARK,NZDAR,Public,Library,Kaipara District Libraries,https://ent.kotui.org.nz/client/en_AU/kaipara/,"Dargaville Public Library,
71 Normanby Street,
Dargaville 0310,
New Zealand","Dargaville Public Library,
71 Normanby Street,
Dargaville 0310,
New Zealand",library@kaipara.govt.nz,0800 532 542,true,true,true,Charter,,,Interloans Team,0800 532 542,interloans@kaipara.govt.nz,Ph 0800 532 542. <br />Last updated: 19/11/2024.
KACC,KACC,,Music hire,Kapiti Chorale Inc.,http://www.kapitichorale.org.nz,"PO Box 212
Paraparaumu 5254
New Zealand","PO Box 212
Paraparaumu 5254
New Zealand",librarian@kapitichorale.org.nz,+64 0 000 0000,false,false,false,TBA,KACC Hire,librarian@kapitichorale.org.nz,,,,secretary@kapitichorale.org.nz
KAP,NZKAP,Public,Library,Kāpiti Coast District Libraries,https://www.kapiticoast.govt.nz/libraries,"9 Iver Trask Place
Paraparaumu 5032
New Zealand","Private Bag 60601
Paraparaumu 5254
New Zealand",paraparaumu.library@kapiticoast.govt.nz,+64 4 296 4889,true,true,true,Charter,Siren Deluxe,Siren.Deluxe@kapiticoast.govt.nz,Vicki Hughes,,vicki.hughes@kapiticoast.govt.nz,Last updated: 21/03/2024.
KAO,NKAO,,Music hire,Kapiti Concert Orchestra,,"269 Mill Road
Otaki 5512
New Zealand","269 Mill Road
Otaki 5512
New Zealand",angelaf@ihug.co.nz,+64 6 364 6941,false,false,false,TBA,KAO Hire,angelaf@ihug.co.nz,,,," Angela Ford 06 364 6154, Clare Barrett (Treasurer)  PO Box 453, Paraparaumu  clarebarrett.editor@gmail.com    "
KADP,NKADP,Public,Library,Kawerau District Library,https://www.kaweraudc.govt.nz/services/district-library,"Jellicoe Court
Kawerau 3127
New Zealand","PO Box 103
Kawerau 3169
New Zealand",library@kaweraudc.govt.nz,+64 7 306 9041,true,true,true,Charter,Susan Harris,susan.harris@kaweraudc.govt.nz,Janice Tekii,+64 7 306 9041,janice.tekii@kaweraudc.govt.nz,Last updated: 15/07/2025
AYS,,Special,Library,Kensington Swan (Akl) Library,http://www.kensingtonswan.com,"18 Viaduct Harbour Avenue
Auckland 1010
New Zealand","Private Bag 92 101
Auckland 1142
New Zealand",lynne.waterfield@kensingtonswan.com,+64 9  375 1167,false,false,false,TBA,Lynne Waterfield,lynne.waterfield@kensingtonswan.com,Lynne Waterfield,+64 9  375 1167,lynne.waterfield@kensingtonswan.com,
WYS,,Special,Library,Kensington Swan (Wn) Library,www.kensingtonswan.com,"89 The Terrace
Wellington
New Zealand","PO Box 10 246
Wellington
New Zealand",lynne.waterfield@kensingtonswan.com,+64 4 472 7877,false,false,false,TBA,Lynne Waterfield,lynne.waterfield@kensingtonswan.com,Lynne Waterfield,+64 4 472 7877,lynne.waterfield@kensingtonswan.com,
AKPM,,Special,Library,KPMG,,"18 Viaduct Harbour Avenue
Auckland
New Zealand","PO Box 1584
Auckland
New Zealand",epeacock@kpmg.co.nz,+64 9 367 5800,false,false,false,TBA,Ellie Peacock,epeacock@kpmg.co.nz,Ellie Peacock,+64 9 367 5800,epeacock@kpmg.co.nz,
ABI,NZABI,Tertiary,Library,"Laidlaw College, Deane Memorial Library",http://www.laidlaw.ac.nz/library/,"80 Central Park Drive
Henderson
Auckland 0610
New Zealand","Private Bag 93 104
Henderson
Auckland 650
New Zealand",LibraryAuckland@laidlaw.ac.nz,+64 9 836 7800,true,true,true,Charter,Jeremy Adams,jadams@laidlaw.ac.nz,Jeremy Adams,+64 9 836 7800,jadams@laidlaw.ac.nz,Last updated: 18/12/2024
